id,heuristic,template,subtemplate_id,label,premise,hypothesis,high_quality,low_quality,extreme_low_quality,natural_language,var_list,example_premise,example_hypotheis,example_high_quality,example_extreme_low_quality
0, lexical_overlap, le_around_prepositional_phrase, 0, entailment, the N1 P1 the N2 Vt1 the N3., the N1 Vt1 the N3., the N1 P1 the N2 N1_Be1 still the N1., the N1 P1 the N2 N1_Be1 still the N1., N1 N2 N1, the N1 P1 the N2 N1_Be1 still the N1.,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the technician by the engineers disturbed the curator .,the technician disturbed the curator .,the technician by the engineers is still the technician .,technician engineers technician
1, lexical_overlap, le_around_relative_clause, 0, entailment, the N1 Rels1 Vi1 Vt2 the N2., the N1 Vt2 the N2., the N1 Rels1 Vi1 N1_Be1 still the N1., the N1 Rels1 Vi1 N1_Be1 still the N1., N1 Vi1 N1, the N1 Rels1 Vi1 N1_Be1 still the N1.,"['N1', 'Rels1', 'Vi1', 'Vt2', 'N2', 'N1_Be1']",the planners that cried needed the administrator .,the planners needed the administrator .,the planners that cried are still the planners .,planners cried planners
2, lexical_overlap, le_around_relative_clause, 1, entailment, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N1 Vt2 the N3., the N1 Rels1 the N2 Vt1 N1_Be1 still the N1., the N1 Rels1 the N2 Vt1 N1_Be1 still the N1., N1 N2 Vt1 N1, the N1 Rels1 the N2 Vt1 N1_Be1 still the N1.,"['N1', 'Rels1', 'Vt1', 'Vt2', 'N2', 'N3', 'N1_Be1']",the scientists who the doctor introduced mentioned the bankers .,the scientists mentioned the bankers .,the scientists who the doctor introduced are still the scientists .,scientists doctor introduced scientists
3, lexical_overlap, le_around_relative_clause, 2, entailment, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N1 Vt2 the N3., the N1 Rels1 Vt1 the N2 N1_Be1 still the N1., the N1 Rels1 Vt1 the N2 N1_Be1 still the N1., N1 Vt1 N2 N1, the N1 Rels1 Vt1 the N2 N1_Be1 still the N1.,"['N1', 'Rels1', 'Vt1', 'Vt2', 'N2', 'N3', 'N1_Be1']",the artisans that called the stylist supported the photographer .,the artisans supported the photographer .,the artisans that called the stylist are still the artisans .,artisans called stylist artisans
4, lexical_overlap, le_conjunction, 0, entailment, the N1 and the N2 Vt1 the N3., the N1 Vt1 the N3., the N1 N1_Be1 part of the N1 and the N2., the N1 N1_Be1 part of the N1 and the N2., N1 N1 N2, the N1 N1_Be1 part of the N1 and the N2.,"['N1', 'Vt1', 'N2', 'N3', 'N1_Be1']",the designer and the doctors mentioned the actor .,the designer mentioned the actor .,the designer is part of the designer and the doctors .,designer designer doctors
5, lexical_overlap, le_conjunction, 1, entailment, the N1 Vt1 the N2 and the N3., the N1 Vt1 the N3., the N3 N3_Be1 part of the N2 and the N3., the N3 N3_Be1 part of the N2 and the N3., N3 N2 N3, the N3 N3_Be1 part of the N2 and the N3.,"['N1', 'Vt1', 'N2', 'N3', 'N3_Be1']",the engineer found the programmer and the actors .,the engineer found the actors .,the actors are part of the programmer and the actors .,actors programmer actors
6, lexical_overlap, le_passive, 0, entailment, the Ns1 was Vt1 by the N2., the N2 Vt1 the Ns1.,"Vt1 is the active form of was Vt1 by , so we swap the order of Ns1 and N2 .","Vt1 is the active form of was Vt1 by , so we swap the order of Ns1 and N2.", Vt1 Vt1 Ns1 N2, the Ns1 was Vt1 by the N2 is the same as the N2 Vt1 the Ns1.,"['Ns1', 'Vt1', 'N2']",the artist was offended by the dancer .,the dancer offended the artist .,"offended is the active form of was offended by , so we swap the order of artist and dancer .",offended offended artist dancer
7, lexical_overlap, le_passive, 1, entailment, the Np1 were Vt1 by the N2., the N2 Vt1 the Np1.,"Vt1 is the active form of was Vt1 by , so we swap the order of Np1 and N2.","Vt1 is the active form of was Vt1 by , so we swap the order of Np1 and N2.", Np1 were Vt1 N2 N2 Vt1 Np1, the Np1 were Vt1 by the N2 is the same as the N2 Vt1 the Np1.,"['Np1', 'Vt1', 'N2']",the directors were affected by the technologist .,the technologist affected the directors .,"affected is the active form of was affected by , so we swap the order of directors and technologist .",directors were affected technologist technologist affected directors
8, lexical_overlap, le_relative_clause, 0, entailment, the N1 Rels1 the N2 Vt1 Vt2 the N3.,the N2 Vt1 the N1.,Rels1 in Rels1 the N2 Vt1 refers to the N1., Rels1 in Rels1 the N2 Vt1 refers to the N1., N2 Vt1 N1, the N1 Rels1 the N2 Vt1 implies the N2 Vt1 the N1.,"['N1', 'Vt1', 'N2', 'Vt2', 'N3', 'Rels1']",the musicians who the chaplains brought found the psychiatrists .,the chaplains brought the musicians .,who in who the chaplains brought refers to the musicians .,chaplains brought musicians
9, lexical_overlap, le_relative_clause, 1, entailment, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N1 Vt1 the N2., Rels1 in Rels1 Vt1 the N2 refers to the N1., Rels1 in Rels1 Vt1 the N2 refers to the N1., Vt1 N2 N1, the N1 Rels1 Vt1 the N2 implies the N1 Vt1 the N2.,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3']",the lyricist who supported the planners saw the president .,the lyricist supported the planners .,who in who supported the planners refers to the lyricist .,supported planners lyricist
